Majors,Terms in Attendance
Environ Health Sciences PhD,G
Molecular & Cell Biology BA,6
"Applied Mathematics BA, Computer Science BA",8
Electrical Eng & Comp Sci BS,4
Public Health MPH,G
Letters & Sci Undeclared UG,6
"Computer Science BA, Data Science BA",6
"Applied Mathematics BA, Computer Science BA",4
"Chemical Biology BS, Computer Science BA",6
Electrical Eng & Comp Sci BS,4
Applied Mathematics BA,4
Letters & Sci Undeclared UG,4
Bioengineering BS,8
Letters & Sci Undeclared UG,8
"Environ Econ & Policy BS, Letters & Sci Undeclared UG",6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
"Letters & Sci Undeclared UG, Nutritional Science BS",4
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Economics BA,8
Data Science BA,4
Letters & Sci Undeclared UG,4
Cognitive Science BA,6
"Chemistry BA, Data Science BA",8
Letters & Sci Undeclared UG,4
Civil Engineering BS,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Data Science BA,7
Info Mgmt & Systems MIMS,G
Letters & Sci Undeclared UG,4
Cognitive Science BA,8
Letters & Sci Undeclared UG,6
Data Science BA,4
Computer Science BA,8
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,4
Computer Science BA,4
Electrical Eng & Comp Sci MEng,G
Computer Science BA,8
"Electrical Eng & Comp Sci BS, Energy Engineering BS",8
Letters & Sci Undeclared UG,4
Public Policy MPP,G
Computer Science BA,6
"Environ Econ & Policy BS, Letters & Sci Undeclared UG",7
Letters & Sci Undeclared UG,4
Public Health MPH,G
Economics BA,6
"Civil Engineering BS, Molecular Environ Biology BS",4
"Economics BA, Psychology BA",8
Chemical Engineering BS,8
Letters & Sci Undeclared UG,6
Civil Engineering BS,8
"Economics BA, Ops Research & Mgmt Sci BA",7
Public Health MPH,G
Data Science BA,6
Computer Science BA,4
"Chemical Biology BS, Molecular & Cell Biology BA",6
Computer Science BA,5
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,4
Ops Research & Mgmt Sci BA,8
Letters & Sci Undeclared UG,6
Cognitive Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
"Letters & Sci Undeclared UG, Society and Environment BS",4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,8
Electrical Eng & Comp Sci BS,8
Industrial Eng & Ops Rsch MEng,G
Ops Research & Mgmt Sci BA,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Computer Science BA,4
Letters & Sci Undeclared UG,6
Environ Econ & Policy BS,6
Info Mgmt & Systems MIMS,G
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
"Chemical Engineering BS, Data Science BA",4
Letters & Sci Undeclared UG,4
Mathematics BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Info Mgmt & Systems MIMS,G
Molecular & Cell Biology BA,6
Letters & Sci Undeclared UG,6
Psychology BA,6
Economics BA,7
Letters & Sci Undeclared UG,6
Data Science BA,4
Computer Science BA,4
Business Administration MBA,G
Letters & Sci Undeclared UG,7
Civil Engineering BS,6
Public Health MPH,G
Data Science BA,4
"Business Administration BS, Nutritional Science BS",8
Computer Science BA,4
Molecular & Cell Biology BA,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
"Cognitive Science BA, MCB-Neurobiology BA",6
Electrical Eng & Comp Sci BS,4
Electrical Eng & Comp Sci BS,6
"Business Administration BS, Electrical Eng & Comp Sci BS",4
Integrative Biology BA,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Data Science BA,6
Letters & Sci Undeclared UG,4
Astrophysics BA,6
Letters & Sci Undeclared UG,4
Civil Engineering BS,6
Computer Science BA,6
Civil Engineering BS,6
Molecular & Cell Biology BA,6
Development Engineering MDE,G
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Elec Eng & Comp Sci 5th Yr MS,G
Computer Science BA,6
Letters & Sci Undeclared UG,4
"Public Health BA, Statistics BA",8
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,8
Non-UC Campus Visitor L&S UG,5
Economics BA,4
English BA,8
Computer Science BA,6
"Chemical Engineering BS, Computer Science BA",5
Cognitive Science BA,6
Economics BA,6
"Comparative Literature BA, Economics BA",8
Cognitive Science BA,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Computer Science BA,4
Letters & Sci Undeclared UG,8
Chemistry BS,4
Economics BA,6
Letters & Sci Undeclared UG,4
Integrative Biology BA,8
Applied Mathematics BA,8
Data Science BA,6
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,4
Civil Engineering BS,8
Letters & Sci Undeclared UG,6
Computer Science BA,6
Civil & Env Eng Prof MS,G
Letters & Sci Undeclared UG,6
Music BA,4
"Business Administration BS, Computer Science BA",8
Civil Engineering BS,8
Letters & Sci Undeclared UG,2
Data Science BA,8
Bioengineering UCSF Joint PhD,G
Education PhD,G
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Sustainable Environ Dsgn BA,6
Letters & Sci Undeclared UG,6
Cognitive Science BA,4
Applied Mathematics BA,4
Computer Science BA,6
Business Administration BS,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Computer Science BA,6
Civil Engineering BS,8
Economics BA,6
Letters & Sci Undeclared UG,4
Economics BA,6
"Astrophysics BA, Mathematics BA",6
Non-UC Campus Visitor L&S UG,5
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Civil Engineering BS,8
Psychology BA,4
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Chemical Engineering BS,8
Public Health MPH,G
Letters & Sci Undeclared UG,4
Bioengineering BS,8
Letters & Sci Undeclared UG,4
Applied Mathematics PhD,G
Civil & Env Eng Prof MS,G
Data Science BA,4
Economics BA,8
Political Science BA,4
Business Administration BS,6
"Bioengineering BS, Letters & Sci Undeclared UG",4
Letters & Sci Undeclared UG,2
Business Administration MBA,G
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
"Cognitive Science BA, Psychology BA",6
Computer Science BA,4
Cognitive Science BA,6
Info Mgmt & Systems MIMS,G
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
"Chemical Engineering BS, Letters & Sci Undeclared UG",4
Applied Mathematics BA,4
CNR Undeclared UG,4
Letters & Sci Undeclared UG,6
Data Science BA,4
Computer Science BA,4
Letters & Sci Undeclared UG,4
Civil Engineering BS,6
Public Policy MPP,G
Cognitive Science BA,4
Letters & Sci Undeclared UG,4
Economics BA,7
Chemical Engineering BS,4
Letters & Sci Undeclared UG,6
"Letters & Sci Undeclared UG, Nuclear Engineering BS",4
Letters & Sci Undeclared UG,4
Chemical Biology BS,6
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci MEng,G
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Economics BA,6
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,6
Microbial Biology BS,4
Letters & Sci Undeclared UG,6
Computer Science BA,4
Microbial Biology BS,4
Economics BA,6
Letters & Sci Undeclared UG,6
Chemistry PhD,G
Mol Sci & Software Engin MMSSE,G
Letters & Sci Undeclared UG,6
"Environmental Sciences BS, Letters & Sci Undeclared UG",6
Landscape Architecture MLA,G
Letters & Sci Undeclared UG,4
Business Administration MBA,G
Letters & Sci Undeclared UG,4
"Letters & Sci Undeclared UG, Sustainable Environ Dsgn BA",4
Economics BA,8
Computer Science BA,4
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,7
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
"Applied Mathematics BA, Computer Science BA",8
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Materials Science & Eng PhD,G
Data Science BA,6
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Civil Engineering BS,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,6
Civil Engineering BS,8
Electrical Eng & Comp Sci BS,6
Public Health MPH,G
Letters & Sci Undeclared UG,8
Data Science BA,6
"Bioengineering BS, Letters & Sci Undeclared UG",3
Sustainable Environ Dsgn BA,4
Statistics BA,8
"Architecture BA, Computer Science BA",6
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,7
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Chemical Engineering BS,4
Data Science BA,4
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
"Letters & Sci Undeclared UG, Mechanical Engineering BS",4
Letters & Sci Undeclared UG,4
Data Science BA,8
"Bioengineering BS, Electrical Eng & Comp Sci BS",6
Computer Science BA,8
Business Administration MBA,G
Applied Mathematics BA,8
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Civil Engineering BS,6
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,4
Computer Science BA,7
Letters & Sci Undeclared UG,8
Letters & Sci Undeclared UG,4
Cognitive Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,6
Computational Biology PhD,G
Bioengineering MEng,G
Molecular & Cell Biology BA,6
Cognitive Science BA,8
Letters & Sci Undeclared UG,4
Civil & Environmental Eng MEng,G
Letters & Sci Undeclared UG,4
Development Engineering MDE,G
Letters & Sci Undeclared UG,4
Molecular & Cell Biology BA,5
Letters & Sci Undeclared UG,4
Chemistry BS,8
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Computer Science BA,4
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Civil & Environmental Eng PhD,G
Letters & Sci Undeclared UG,4
Economics BA,8
Political Economy BA,8
"Chemical Biology BS, Nutritional Sci-Toxicology BS",8
Chemical Engineering BS,4
Letters & Sci Undeclared UG,8
Cognitive Science BA,6
Electrical Eng & Comp Sci MEng,G
Molecular & Cell Biology BA,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,6
Data Science BA,7
Chemical Biology BS,6
Computer Science BA,4
Electrical Eng & Comp Sci BS,6
Letters & Sci Undeclared UG,6
Mechanical Eng 5th Yr MS,G
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Data Science BA,4
Civil Engineering BS,8
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci MEng,G
Computer Science BA,7
Cognitive Science BA,6
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,6
Economics BA,6
Civil & Environmental Eng MEng,G
Molecular & Cell Biology BA,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,6
Development Practice MDP,G
Computer Science BA,6
Computer Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Business Administration MBA,G
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
"Chemical Engineering BS, Letters & Sci Undeclared UG",6
Letters & Sci Undeclared UG,6
Data Science BA,4
Environ Econ & Policy BS,8
Letters & Sci Undeclared UG,4
Economics BA,8
Civil Engineering BS,8
Economics BA,6
Applied Mathematics BA,6
Data Science BA,6
Economics BA,8
Computer Science BA,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Industrial Eng & Ops Rsch MEng,G
Letters & Sci Undeclared UG,4
"Data Science BA, Electrical Eng & Comp Sci BS",8
Chemical Engineering BS,8
Chemical Engineering MS,G
Society and Environment BS,6
Data Science BA,4
Data Science BA,8
Nutritional Science BS,4
Letters & Sci Undeclared UG,6
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,4
Psychology BA,6
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Computer Science BA,6
Astrophysics BA,8
Letters & Sci Undeclared UG,4
Mechanical Engineering PhD,G
Letters & Sci Undeclared UG,4
Architecture MArch,G
Letters & Sci Undeclared UG,8
Data Science BA,6
Business Administration MBA,G
Society and Environment BS,2
Computer Science BA,6
Molecular & Cell Biology BA,4
"Bioengineering BS, Letters & Sci Undeclared UG",4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Civil Engineering BS,8
Computer Science BA,7
Sociology BA,8
Business Administration BS,4
Electrical Eng & Comp Sci BS,6
"Letters & Sci Undeclared UG, Sustainable Environ Dsgn BA",8
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
"Architecture BA, Economics BA, Mathematics BA",6
Letters & Sci Undeclared UG,4
Chemistry BS,8
Electrical Eng & Comp Sci MEng,G
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Physics PhD,G
Industrial Eng & Ops Rsch BS,4
Data Science BA,6
Computer Science BA,8
Public Health MPH,G
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Data Science BA,6
Media Studies BA,6
Letters & Sci Undeclared UG,4
"Environ Econ & Policy BS, Letters & Sci Undeclared UG",6
Microbial Biology BS,6
Civil & Env Eng Prof MS,G
Letters & Sci Undeclared UG,4
Civil Engineering BS,8
Eng Math & Statistics BS,7
Letters & Sci Undeclared UG,6
Electrical Eng & Comp Sci BS,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
"Data Science BA, Economics BA",8
"Computer Science BA, Data Science BA",4
Civil Engineering BS,8
Electrical Eng & Comp Sci BS,6
Letters & Sci Undeclared UG,4
Data Science BA,4
Chemical Biology BS,8
Mechanical Engineering PhD,G
Development Engineering MDE,G
Letters & Sci Undeclared UG,4
Computer Science BA,4
Chemical Biology BS,4
Data Science BA,4
Electrical Eng & Comp Sci BS,3
Letters & Sci Undeclared UG,4
Nuclear Engineering BS,4
Applied Mathematics BA,8
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,3
Letters & Sci Undeclared UG,6
Computer Science BA,6
"CNR Undeclared UG, Data Science BA",8
Data Science BA,6
Applied Mathematics BA,4
Letters & Sci Undeclared UG,6
Psychology BA,6
Economics BA,8
Ops Research & Mgmt Sci BA,4
Computer Science BA,7
"Letters & Sci Undeclared UG, Sustainable Environ Dsgn BA",4
English BA,6
Letters & Sci Undeclared UG,8
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Public Health MPH,G
"Applied Mathematics BA, Computer Science BA",7
Electrical Eng & Comp Sci BS,4
Data Science BA,4
Letters & Sci Undeclared UG,4
Global Studies BA,4
Data Science BA,4
Letters & Sci Undeclared UG,4
"Chemistry BS, Letters & Sci Undeclared UG",8
Letters & Sci Undeclared UG,4
Economics BA,4
Info Mgmt & Systems MIMS,G
#REF!,#REF!
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,6
Chemistry BS,4
Letters & Sci Undeclared UG,6
Industrial Eng & Ops Rsch BS,8
Letters & Sci Undeclared UG,4
"Environ Econ & Policy BS, Letters & Sci Undeclared UG",6
Molecular & Cell Biology BA,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Cognitive Science BA,8
Computer Science BA,6
Economics BA,8
Letters & Sci Undeclared UG,2
"Economics BA, Statistics BA",8
Data Science BA,6
Letters & Sci Undeclared UG,4
Economics BA,8
Cognitive Science BA,4
Computer Science BA,8
Environ Econ & Policy BS,4
Data Science BA,6
Industrial Eng & Ops Rsch BS,6
Economics BA,8
Earth & Planetary Science PhD,G
"Economics BA, Political Science BA",8
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Computer Science BA,4
Letters & Sci Undeclared UG,6
Mathematics BA,6
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,6
Applied Mathematics BA,8
"Chemical Engineering BS, Letters & Sci Undeclared UG",6
Applied Mathematics BA,8
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,4
Data Science BA,8
Computer Science BA,4
Civil Engineering BS,8
Letters & Sci Undeclared UG,4
Public Policy MPP,G
"Computer Science BA, Data Science BA",6
Public Health MPH,G
"Business Administration BS, Letters & Sci Undeclared UG",6
Economics BA,6
Industrial Eng & Ops Rsch BS,8
Computer Science BA,4
Electrical Eng & Comp Sci BS,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,6
Civil Engineering BS,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Eng Math & Statistics BS,8
"Applied Mathematics BA, Global Studies BA",8
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,7
"Civil Engineering BS, Environmental Sciences BS",4
Letters & Sci Undeclared UG,4
"Computer Science BA, Economics BA",4
Civil Engineering BS,6
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
"Molecular & Cell Biology BA, Nut Sci-Physio & Metabol BS",8
Civil Engineering BS,8
Letters & Sci Undeclared UG,3
Economics BA,7
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Civil Engineering BS,4
"Letters & Sci Undeclared UG, Sustainable Environ Dsgn BA",4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,2
Economics BA,8
Industrial Eng & Ops Rsch MEng,G
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci MEng,G
"Economics BA, Molecular & Cell Biology BA",8
Chemical Engineering BS,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,3
Computer Science BA,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,6
"Applied Mathematics BA, Computer Science BA",6
Electrical Eng & Comp Sci BS,6
Public Health MPH,G
Computer Science BA,5
Data Science BA,8
Mechanical Eng 5th Yr MS,G
Business Administration BS,6
Epidemiology MS,G
Data Science BA,8
Letters & Sci Undeclared UG,4
Data Science BA,6
Letters & Sci Undeclared UG,4
"Applied Mathematics BA, Economics BA",6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Civil & Environmental Eng PhD,G
"Business Administration BS, Economics BA",6
Letters & Sci Undeclared UG,4
Applied Science & Tech PhD,G
Letters & Sci Undeclared UG,4
Psychology BA,6
Development Engineering MDE,G
Cognitive Science BA,4
Electrical Eng & Comp Sci BS,4
Mol Sci & Software Engin MMSSE,G
Spanish and Portuguese BA,8
Architecture MArch,G
Letters & Sci Undeclared UG,8
Data Science BA,8
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,2
Computer Science BA,6
